shape_id,latitude,longitude,shape_pt_sequence,shape_dist_traveled
3S:767#23744#23777,-41.279055,174.776949,83,2137.4184764365555
3S:767#23744#23777,-41.27899,174.77691,84,2145.342709686996
3S:767#23744#23777,-41.278948,174.776855,85,2151.891649829452
3S:767#23744#23777,-41.278916,174.776776,86,2159.38674996431
3S:767#23744#23777,-41.278894,174.776634,87,2171.4953061079227
3S:767#23744#23777,-41.278765,174.775673,88,2253.0256407972524
3S:767#23744#23777,-41.278663,174.775055,89,2305.8695381941543
3S:767#23744#23777,-41.278644,174.774976,90,2312.797244786793
3S:767#23744#23777,-41.278628,174.774907,91,2318.8273108641806
3S:767#23744#23777,-41.278591,174.774793,92,2329.1981662032827
3S:767#23744#23777,-41.27855,174.774696,93,2338.492756784385
3S:767#23744#23777,-41.278416,174.77449,94,2361.2471039498087
3S:767#23744#23777,-41.278312,174.774339,95,2378.353304102816
3S:767#23744#23777,-41.278184,174.774135,96,2400.5484594432232
3S:767#23744#23777,-41.278104,174.774008,97,2414.388594921602
3S:767#23744#23777,-41.277959,174.773649,98,2448.42767326841
3S:767#23744#23777,-41.27795,174.773614,99,2451.5168167268207
3S:767#23744#23777,-41.277885,174.773383,100,2472.117419768814
3S:767#23744#23777,-41.277883,174.773141,101,2492.330242179408
3S:767#23744#23777,-41.277889,174.77304,102,2500.7918060268903
3S:767#23744#23777,-41.277909,174.772918,103,2511.220228376513
3S:767#23744#23777,-41.27797,174.772757,104,2526.278737863247
3S:767#23744#23777,-41.278119,174.772506,105,2552.992777970773
3S:767#23744#23777,-41.278288,174.77226,106,2580.8290483388314
3S:767#23744#23777,-41.278426,174.772105,107,2600.898390369097
3S:767#23744#23777,-41.278504,174.772018,108,2612.2089002514776
3S:767#23744#23777,-41.278727,174.771801,109,2642.9113481389254
3S:767#23744#23777,-41.27911,174.77147,110,2693.664592141893
3S:767#23744#23777,-41.279198,174.771382,111,2705.898153644704
3S:767#23744#23777,-41.279253,174.771281,112,2716.3144830628266
3S:767#23744#23777,-41.279276,174.771186,113,2724.6495558112815
3S:767#23744#23777,-41.27928,174.771055,114,2735.5993170609345
3S:767#23744#23777,-41.279248,174.77089,115,2749.8307112691955
3S:767#23744#23777,-41.27914,174.770458,116,2787.8540109360306
3S:767#23744#23777,-41.278943,174.769618,117,2861.3449821200666
3S:767#23744#23777,-41.278851,174.769195,118,2898.122365133147
3S:767#23744#23777,-41.279151,174.768839,119,2942.79388906284
3S:767#23744#23777,-41.279181,174.768804,120,2947.228050100854
3S:767#23744#23777,-41.27928496,174.7688933,121,2960.979109225372
3S:767#23744#23777,-41.279181,174.768804,122,2974.7301683498904
3S:767#23744#23777,-41.280017,174.76783,123,3098.215810713341
3S:767#23744#23777,-41.280265,174.767541,124,3134.8511875292093
3S:767#23744#23777,-41.2804933,174.7672037,125,3172.7623311701645
3S:767#23744#23777,-41.28057112,174.7672564,126,3182.466335616272
3S:767#23744#23777,-41.2804933,174.7672037,127,3192.170340062379
3S:767#23744#23777,-41.2805,174.767194,128,3193.2686819426394
3S:767#23744#23777,-41.280712,174.766802,129,3233.6029178660183
3S:767#23744#23777,-41.280815,174.766594,130,3254.4061703522266
3S:767#23744#23777,-41.280893,174.766424,131,3271.0406346146883
3S:767#23744#23777,-41.281947,174.764083,132,3498.9506730346234
3S:767#23744#23777,-41.282131,174.763629,133,3542.0283808110053
3S:767#23744#23777,-41.282201,174.763499,134,3555.384895354247
3S:767#23744#23777,-41.282258,174.763422,135,3564.411188504957
3S:767#23744#23777,-41.28235,174.76334,136,3576.7170224376227
3S:767#23744#23777,-41.282446,174.76327,137,3588.8826929796437
3S:767#23744#23777,-41.282796,174.763018,138,3633.1076109642577
3S:767#23744#23777,-41.282944,174.762893,139,3652.5885412143075
3S:767#23744#23777,-41.283086,174.762744,140,3672.685227822624
3S:767#23744#23777,-41.283354,174.762347,141,3717.252640996934
3S:767#23744#23777,-41.2834679,174.7621626,142,3737.186278209974
3S:767#23744#23777,-41.28353095,174.7622016,143,3744.9132157796275
3S:767#23744#23777,-41.2834679,174.7621626,144,3752.6401533492813
3S:767#23744#23777,-41.283508,174.762098,145,3759.637038514321
3S:767#23744#23777,-41.28369,174.761846,146,3788.8259514696956
3S:767#23744#23777,-41.284198,174.761126,147,3871.3036040835314
3S:767#23744#23777,-41.285043,174.759811,148,4015.7957765193505
3S:767#23744#23777,-41.285147,174.759628,149,4034.9565960347645
3S:767#23744#23777,-41.285259,174.75942,150,4056.3255532454377
3S:767#23744#23777,-41.285407,174.759159,151,4083.630723685306
3S:767#23744#23777,-41.2854455,174.7590889,152,4090.8816178833035
3S:767#23744#23777,-41.2855592,174.7591515,153,4104.5561931954735
3S:767#23744#23777,-41.2854455,174.7590889,154,4118.230768507644
3S:767#23744#23777,-41.28567,174.758681,155,4160.453706087294
3S:767#23744#23777,-41.285717,174.758606,156,4168.608616494479
3S:767#23744#23777,-41.285829,174.758425,157,4188.188881683408
3S:767#23744#23777,-41.285895,174.758333,158,4198.811037416989
3S:767#23744#23777,-41.285935,174.758291,159,4204.472258867601
3S:767#23744#23777,-41.286012,174.758227,160,4214.561061712269
3S:767#23744#23777,-41.286147,174.758201,161,4229.720270237852
3S:767#23744#23777,-41.286271,174.758201,162,4243.500758814177
3S:767#23744#23777,-41.286609,174.758194,163,4281.068273798767
3S:767#23744#23777,-41.286968,174.758176,164,4320.993202396097
3S:767#23744#23777,-41.287128,174.75816,165,4338.824510151822
3S:767#23744#23777,-41.287208,174.758137,166,4347.920351994055
3S:767#23744#23777,-41.287273,174.758106,167,4355.593507834536
3S:767#23744#23777,-41.287358,174.758047,168,4366.24739872278
3S:767#23744#23777,-41.287562,174.757875,169,4393.085168527494
3S:767#23744#23777,-41.287671,174.757786,170,4407.296622156929
3S:767#23744#23777,-41.2877158,174.7577512,171,4413.061843566554
3S:767#23744#23777,-41.28783015,174.7578989,172,4430.771311723384
3S:767#23744#23777,-41.2877158,174.7577512,173,4448.480779880215
3S:767#23744#23777,-41.287817,174.757673,174,4461.486230975277
3S:767#23744#23777,-41.287925,174.757583,175,4475.64755138737
3S:767#23744#23777,-41.288027,174.757554,176,4487.239122782449
3S:767#23744#23777,-41.288104,174.757564,177,4495.836840272159
3S:767#23744#23777,-41.288209,174.757588,178,4507.676994026381
3S:767#23744#23777,-41.288305,174.75761,179,4518.502726191166
3S:767#23744#23777,-41.288382,174.757619,180,4527.0931108714485
3S:767#23744#23777,-41.288457,174.757617,181,4535.429803601017
3S:767#23744#23777,-41.288563,174.757582,182,4547.567321405676
3S:767#23744#23777,-41.288621,174.757473,183,4558.7203296535545
3S:767#23744#23777,-41.288638,174.757348,184,4569.327643155773
3S:767#23744#23777,-41.288617,174.757196,185,4582.233029451663
3S:767#23744#23777,-41.288578,174.757104,186,4591.054020900629
3S:767#23744#23777,-41.288493,174.75703,187,4602.341424507841
3S:767#23744#23777,-41.2884578,174.7570197,188,4606.345636890424
3S:767#23744#23777,-41.28847497999999,174.7569609,189,4611.614808331295
3S:767#23744#23777,-41.2884578,174.7570197,190,4616.883979772165
3S:767#23744#23777,-41.288445,174.757016,191,4618.3415891241475
3S:767#23744#23777,-41.288378,174.757022,192,4625.804791229559
3S:767#23744#23777,-41.288277,174.757051,193,4637.288292167849
3S:767#23744#23777,-41.288019,174.75716,194,4667.370616170826
3S:767#23744#23777,-41.287702,174.757269,195,4703.756581552032
3S:767#23744#23777,-41.287608,174.757308,196,4714.6989407013725
3S:767#23744#23777,-41.287503,174.757378,197,4727.749998427672
3S:767#23744#23777,-41.287415,174.757444,198,4738.975820105309
3S:767#23744#23777,-41.287332,174.757501,199,4749.354918851551
3S:767#23744#23777,-41.287223,174.757561,200,4762.463791904061
3S:767#23744#23777,-41.287213,174.757542,201,4764.399018437424
3S:767#23744#23777,-41.2872,174.75753,202,4766.1588227022385
3S:767#23744#23777,-41.287185,174.757524,203,4767.89804375295
3S:767#23744#23777,-41.287169,174.757524,204,4769.678193251637
3S:767#23744#23777,-41.287122,174.757489,205,4775.663302940984
3S:767#23744#23777,-41.287087,174.757453,206,4780.578901410376
3S:767#23744#23777,-41.287063,174.757415,207,4784.7245082176305
3S:767#23744#23777,-41.287036,174.757364,208,4789.934401204392
3S:767#23744#23777,-41.287011,174.757307,209,4795.445747293144
3S:767#23744#23777,-41.286994,174.757251,210,4800.489702525444
3S:767#23744#23777,-41.286982,174.757194,211,4805.433606894742
3S:767#23744#23777,-41.286982,174.757171,212,4807.3571683035425
3S:767#23744#23777,-41.286981,174.757133,213,4810.533954235769
3S:767#23744#23777,-41.286987,174.757082,214,4814.84562084523
3S:767#23744#23777,-41.287001,174.757032,215,4819.30205915131
3S:767#23744#23777,-41.287036,174.756951,216,4827.104360638541
3S:767#23744#23777,-41.287083,174.756857,217,4836.532624016609
3S:767#23744#23777,-41.287162,174.756769,218,4847.9819717442615
3S:767#23744#23777,-41.287262,174.756648,219,4863.002170443564
3S:767#23744#23777,-41.2872965,174.7566071,220,4868.136345598591
3S:767#23744#23777,-41.2873982,174.7566931,221,4881.527191385206
3S:767#23744#23777,-41.2872965,174.7566071,222,4894.91803717182
3S:767#23744#23777,-41.28735,174.756544,223,4902.86212713238
3S:767#23744#23777,-41.287387,174.756503,224,4908.212680554217
3S:767#23744#23777,-41.287447,174.75641,225,4918.44854017167
3S:767#23744#23777,-41.287467,174.756332,226,4925.330613496295
3S:767#23744#23777,-41.287468,174.756232,227,4933.682410897005
3S:767#23744#23777,-41.287458,174.756128,228,4942.438354809321
3S:767#23744#23777,-41.287272,174.755158,229,5026.035303706446
3S:767#23744#23777,-41.287248,174.755035,230,5036.646859964525
3S:767#23744#23777,-41.287222,174.754936,231,5045.4048599867465
3S:767#23744#23777,-41.287181,174.754836,232,5054.917726102794
3S:767#23744#23777,-41.28713,174.754765,233,5063.120517954367
3S:767#23744#23777,-41.287047,174.754719,234,5073.112483265738
3S:767#23744#23777,-41.286956,174.754709,235,5083.2600096849055
3S:767#23744#23777,-41.286801,174.754702,236,5100.495710772636
3S:767#23744#23777,-41.2867,174.754675,237,5111.944272170991
3S:767#23744#23777,-41.2864378,174.754666,238,5141.092907615612
3S:767#23744#23777,-41.28643876,174.7546373,239,5143.491384701012
3S:767#23744#23777,-41.2864378,174.754666,240,5145.889861786412
3S:767#23744#23777,-41.286202,174.754658,241,5172.103487008161
3S:767#23744#23777,-41.285908,174.754644,242,5204.797560632091
3S:767#23744#23777,-41.285342,174.754604,243,5267.787323471119
3S:767#23744#23777,-41.285227,174.754581,244,5280.711530930761
3S:767#23744#23777,-41.285109,174.754494,245,5295.7029322902035
3S:767#23744#23777,-41.284928,174.754341,246,5319.532746668091
3S:767#23744#23777,-41.284765,174.754136,247,5344.457006945305
3S:767#23744#23777,-41.284726,174.754044,248,5353.278508676368
3S:767#23744#23777,-41.284696,174.753948,249,5361.961145241517
3S:767#23744#23777,-41.284664,174.753766,250,5377.570362914583
3S:767#23744#23777,-41.284641,174.753573,251,5393.889012973514
3S:767#23744#23777,-41.284587,174.753281,252,5419.001470451732
3S:767#23744#23777,-41.284555,174.753126,253,5432.425218453848
3S:767#23744#23777,-41.284504,174.752963,254,5447.169571733102
3S:767#23744#23777,-41.2844993,174.752955,255,5448.007549403088
3S:767#23744#23777,-41.284556073009,174.75292172075197,256,5454.902038765264
3S:767#23744#23777,-41.2844993,174.752955,257,5461.796528127439
3S:767#23744#23777,-41.28444,174.752854,258,5472.500158519513
3S:767#23744#23777,-41.284108,174.75244,259,5523.063337927969
3S:767#23744#23777,-41.284036,174.752367,260,5533.123097899878
3S:767#23744#23777,-41.284018,174.752348,261,5535.679642978732
3S:767#23744#23777,-41.283923,174.752294,262,5547.160007633764
3S:767#23744#23777,-41.283801,174.752255,263,5561.103830551051
3S:767#23744#23777,-41.283717,174.752246,264,5570.468861289766
3S:767#23744#23777,-41.283368,174.752217,265,5609.329847692916
3S:767#23744#23777,-41.283239,174.752208,266,5623.685948482417
3S:767#23744#23777,-41.283068,174.752186,267,5642.77828290797
3S:767#23744#23777,-41.282923,174.752191,268,5658.897942980107
3S:767#23744#23777,-41.28282,174.752208,269,5670.432288999368
3S:767#23744#23777,-41.2827401,174.7522461,270,5679.864371034287
3S:767#23744#23777,-41.28269364,174.7521488,271,5689.492001477551
3S:767#23744#23777,-41.2827401,174.7522461,272,5699.119631920815
3S:767#23744#23777,-41.28273,174.752251,273,5700.316052037661
3S:767#23744#23777,-41.282633,174.752363,274,5714.588190025884
3S:767#23744#23777,-41.282517,174.75244,275,5728.994058655519
3S:767#23744#23777,-41.282381,174.752483,276,5744.528986905296
3S:767#23744#23777,-41.282278,174.7525,277,5756.062942663995
3S:767#23744#23777,-41.282156,174.752526,278,5769.7936914726015
